appearance_id;artista_proyecto;nombre_cancion;aparicion;tipo;titulo_obra;temporada_episodio;pais_obra;lanzamiento_cancion
BLU001;Blur;Badhead;2013;Serie;My Mad Fat Diary;S1/E4;Reino Unido;1994
BLU002;Blur;Beetlebum;2008;Videojuego;Rock Band ;;Estados Unidos;1997
BLU003;Blur;Beetlebum;2015;Serie;My Mad Fat Diary;S3/E2;Reino Unido;1997
BLU004;Blur;Beetlebum;1997;Serie;Daria;S1/E9;Estados Unidos;1997
BLU005;Blur;Brothers and Sisters;2011;Serie;Top Gear (UK);S17/E5;Reino Unido;2003
BLU006;Blur;Chemical World;2014;Serie;My Mad Fat Diary;S2/E3;Reino Unido;1993
BLU007;Blur;Coffee & TV;2007;Videojuego;SingStar;;Reino Unido;1999
BLU008;Blur;Coffee & TV;1999;Pelicula;Cruel Intentions;;Estados Unidos;1999
BLU009;Blur;Coffee & TV;2001;Serie;The Sopranos;S3/E11;Estados Unidos;1999
BLU010;Blur;Coffee & TV;2000;Serie;Daria;S4/E2;Estados Unidos;1999
BLU011;Blur;Country House;2008;Videojuego;SingStar Vol. 2;;Reino Unido;1995
BLU012;Blur;Country House;2015;Serie;My Mad Fat Diary;S3/E1;Reino Unido;1995
BLU013;Blur;Country House;2014;Serie;My Mad Fat Diary;S2/E1;Reino Unido;1995
BLU014;Blur;Country House;2012;Serie;Fresh Meat;S2/E4;Reino Unido;1995
BLU015;Blur;Country House;1998;Serie;Daria;S2/E4;Estados Unidos;1995
BLU016;Blur;Country Sad Ballad Man;2017;Serie;The Replacement;S1/E1;Reino Unido;1997
BLU017;Blur;Crazy Beat;2004;Serie;Gilmore Girls;S4/E11;Estados Unidos;2003
BLU018;Blur;Death of a Party;2023;Pelicula;All of Us Strangers;;Reino Unido;1997
BLU019;Blur;End of a Century;2014;Serie;My Mad Fat Diary;S2/E4;Reino Unido;1994
BLU020;Blur;Far Out;2013;Serie;My Mad Fat Diary;S1/E6;Reino Unido;1994
BLU021;Blur;Girls & Boys;2008;Videojuego;SingStar Summer Party;;Reino Unido;1994
BLU022;Blur;Girls & Boys;2009;Videojuego;Just Dance;;Francia;1994
BLU023;Blur;Girls & Boys;2010;Videojuego;Dance Central ;;Estados Unidos;1994
