artista;cancion;aparicion;tipo;titulo_obra;temporada_episodio;titulo_episodio
Blur;Chinese Bombs;1998;Videojuego;The Sound of Gran Turismo;;
Blur;Song 2;1998;Videojuego;FIFA: Road to World Cup 98;;
Blur;Song 2;2006;Videojuego;SingStar Rocks!;;
Blur;Parklife;2006;Videojuego;SingStar Legends;;
Blur;Coffee & TV;2007;Videojuego;SingStar (PS3);;
Blur;Parklife;2007;Videojuego;Thrillville: Off the Rails;;
Blur;Beetlebum;2008;Videojuego;Rock Band (DLC);;
Blur;Girls & Boys;2008;Videojuego;SingStar Summer Party;;
Blur;Country House;2008;Videojuego;SingStar Vol. 2;;
Blur;Song 2;2009;Videojuego;Guitar Hero 5;;
Blur;Song 2;2009;Videojuego;Lego Rock Band;;
Blur;Song 2;2009;Videojuego;Band Hero (DS);;
Blur;Girls & Boys;2009;Videojuego;Just Dance;;
Blur;There's No Other Way;2009;Videojuego;Rock Band 2 (DLC);;
Blur;Song 2;2010;Videojuego;Madden NFL 11;;
Blur;There's No Other Way;2010;Videojuego;Guitar Hero 5 (DLC);;
Blur;Song 2;2010;Videojuego;Just Dance 2 (DLC);;
Blur;Song 2;2010;Videojuego;SingStar Guitar;;
Blur;Girls & Boys;2010;Videojuego;Dance Central (DLC);;
Blur;Song 2;2011;Videojuego;Madden NFL Football;;
Blur;Parklife;2011;Videojuego;Kinect Sports: Season Two;;
Blur;Song 2;2011;Videojuego;Madden NFL 12;;
Blur;Song 2 (cover);2011;Videojuego;Just Dance Kids 2;;
Blur;Song 2;2011;Videojuego;Rocksmith;;
Blur;Song 2;2011;Videojuego;Just Dance: Summer Party;;
Blur;Song 2;2012;Videojuego;Madden NFL 13;;
Blur;Song 2;2013;Videojuego;Saints Row IV;;
Blur;Song 2;2013;Videojuego;Madden NFL 25;;
Blur;Song 2;2020;Videojuego;Watch Dogs: Legion;;
Blur;Song 2;2021;Videojuego;Beatstar (beta);;
Blur;Song 2;2023;Videojuego;Rock Band 4 (DLC);;
Blur;Song 2;2024;Videojuego;Fortnite Festival;;
Blur;Song 2;2025;Videojuego;Synth Riders (DLC);;
Blur;Song 2;2025;Videojuego;EA Sports College Football 26;;
Blur;Song 2;2025;Videojuego;Madden NFL 26;;
Blur;Song 2;2025;Videojuego;NBA 2K26;;
Blur;Song 2;2026;Videojuego;NHL 27;;
Blur;Parklife;2026;Videojuego;Stage Tour;;
Blur;Badhead;2013;Serie;My Mad Fat Diary;S1|E4;Don't Ever Tell Anyone Anything!
Blur;Beetlebum;2015;Serie;My Mad Fat Diary;S3|E2;Rewind
Blur;Beetlebum;1997;Serie;Daria;S1|E9;Too Cute
Blur;Brothers and Sisters;2011;Serie;Top Gear (UK);S17|E5;Series 17, Episode 5
Blur;Chemical World;2014;Serie;My Mad Fat Diary;S2|E3;Girls
Blur;Coffee & TV;1999;Película;Cruel Intentions;;
Blur;Coffee & TV;2001;Serie;The Sopranos;S3|E11;Pine Barrens
Blur;Coffee & TV;2000;Serie;Daria;S4|E2;Antisocial Climbers
Blur;Country House;2015;Serie;My Mad Fat Diary;S3|E1;Who is Stan Ford?
Blur;Country House;2014;Serie;My Mad Fat Diary;S2|E1;Alarm!
Blur;Country House;2012;Serie;Fresh Meat;S2|E4;Episode 4
Blur;Country House;1998;Serie;Daria;S2|E4;I Don't
Blur;Country Sad Ballad Man;2017;Serie;The Replacement;S1|E1;Episode 1
Blur;Crazy Beat;2004;Serie;Gilmore Girls;S4|E11;In the Clamor and the Clangor
Blur;Death of a Party;2023;Pelicula;All of Us Strangers;;
Blur;End of a Century;2014;Serie;My Mad Fat Diary;S2|E4;Friday
Blur;Far Out;2013;Serie;My Mad Fat Diary;S1|E6;It's a Wonderful Rae (2)
Blur;Girls and Boys;2018;Serie;Derry Girls;S1|E6;Episode 6
Blur;Girls and Boys;2018;Serie;Derry Girls;S1|E4;Episode 4
Blur;Girls and Boys;2013;Serie;My Mad Fat Diary;S1|E3;Ladies and Gentlemen
Blur;Girls and Boys;2011;Serie;Being Erica;S4|E4;Born This Way
Blur;Girls and Boys;2020;Serie;The A Word;S3|E5;Episode 5
Blur;Girls and Boys;2020;Serie;Alma's Not Normal;S1|E1;Feng Suey
Blur;Good Song;2017;Serie;Catastrophe;S3|E6;Episode 6
Blur;Good Song;2011;Serie;Top Gear (UK);S17|E6;Series 17, Episode 6
Blur;Intermission;2017;Película;Baby Driver;;
Blur;It Could Be You;2013;Serie;My Mad Fat Diary;S1|E2;Touched
Blur;It Could Be You;2014;Serie;My Mad Fat Diary;S2|E4;Friday
Blur;Lonesome Street;2016;Serie;Gilmore Girls: A Year in the Life;S1|E2;Spring
Blur;Moroccan Peoples Revolutionary Bowls Club;2011;Serie;Top Gear (UK);S17|E6;Series 17, Episode 6
Blur;On the Way to the Club;2014;Serie;Top Gear (UK);S21|E1;Series 21, Episode 1
Blur;On the Way to the Club;2012;Serie;Top Gear (UK);S18|E4;Series 18, Episode 4
Blur;On Your Own;2000;Pelicula;The Beach;;
Blur;Out of Time;2015;Pelicula;American Sniper;;
Blur;Parklife;2021;Serie;This Is Pop;S1|E2;Hail Britpop!
Blur;Parklife;2018;Serie;Love Island (UK);S4|E10;Episode 10
Blur;Parklife;2016;Pelicula;The Brothers Grimsby;;
Blur;Popscene;1995;Serie;Beavis and Butt-Head;S5|E21;Lightning Strikes
Blur;Popscene;2024;Serie;One Day;S1|E6;Episode 6
Blur;She's So High;1997;Pelicula;Nowhere;;
Blur;Sing;2009;Serie;Top Gear (UK);S14|E5;Series 14, Episode 5
Blur;Sing;2016;Serie;Love Island (UK);S2|E24;Episode 24
Blur;Sing;2014;Serie;My Mad Fat Diary;S2|E2;Radar
Blur;Sing;1996;Pelicula;Trainspotting;;
Blur;Sing;2008;Serie;Top Gear (UK);S12E4;Economy Run
Blur;Sing;2023;Serie;Beckham;S1E4;What Makes David Run
Blur;Song 2;2021;Serie;Ted Lasso;S2E5;Rainbow
Blur;Song 2;2026;Serie;The Artful Dodger;S2E1;Hangman
Blur;Song 2;2022;Serie;Dancing With the Stars;S31E9;90s Night
