album_id;artista_proyecto;tipo_discografia;nombre_album;año_lanzamiento;UK_peak;semanas_chart_UK;US_peak;semanas_chart_US;certificacion_BPI
BLU_001;Blur;Album;Leisure;1991;7;22;-;-;Oro
BLU_002;Blur;Album;Modern Life Is Rubbish;1993;15;19;-;-;Oro
OAS_001;Oasis;Album;Definitely Maybe;1994;1;663;13;22;10xPlatino
OAS_002;Oasis;Live album;1994-04-24: Glastonbury Festival of Contemporary Performing Arts, UK;1994;-;-;-;-;N/A
OAS_003;Oasis;Live broadcast;Oasis - Evening Session 1993;1994;-;-;-;-;N/A
BLU_003;Blur;Album;Parklife;1994;1;120;-;-;4xPlatino
BLU_004;Blur;Compilation;The Special Collectors Edition;1994;-;-;43;1;N/A
OAS_004;Oasis;Album;(What's the Story) Morning Glory?;1995;1;767;4;81;19xPlatino
OAS_005;Oasis;Live album;Live by the Sea;1995;-;-;-;-;3xPlatino
BLU_005;Blur;Album;The Great Escape;1995;1;56;150;1;3xPlatino
OAS_006;Oasis;Live album;… There and Then;1996;-;-;-;-;8xPlatino
BLU_006;Blur;Live album;Live at the Budokan;1996;77;1;-;-;N/A
BLU_007;Blur;Live album;Planet Live!;1996;-;-;-;-;N/A
OAS_007;Oasis;Album;Be Here Now;1997;1;51;2;26;7xPlatino
OAS_008;Oasis;Spokenword album;Brothers: From childhood to Oasis Real Story;1997;-;-;-;-;N/A
BLU_008;Blur;Album;Blur;1997;1;75;61;37;Platino
BLU_009;Blur;Live album;Live;1997;-;-;-;-;N/A
OAS_009;Oasis;Compilation;The Masterplan;1998;2;45;51;2;3xPlatino
BLU_010;Blur;Live remix album;Bustin' + Dronin';1998;100;1;56;1;N/A
BLU_011;Blur;Album;13;1999;1;;80;5;Platino
BLU_012;Blur;Compilation;10 Year Anniversary Box Set;1999;-;-;-;-;N/A
DAM_001;Damon Albarn & Michael Nyman;Soundtrack album;Ravenous;1999;-;-;-;-;N/A
OAS_010;Oasis;Album;Standing on the Shoulder of Giants;2000;1;36;24;8;2xPlatino
OAS_011;Oasis;Live album;Familiar to Millions;2000;5;13;182;1;Platino
BLU_013;Blur;Compilation;Blur: The Best Of;2000;3;62;186;1;N/A
GOR_001;Gorillaz;EP;Tomorrow Comes Today;2000;-;-;-;-;N/A
BLU_014;Blur;EP;B-Sides Gig EP;2001;-;-;-;-;N/A
GOR_002;Gorillaz;Album;Gorillaz;2001;3;82;14;45;3xPlatino
GOR_003;Gorillaz;Compilation;G Sides;2001;65;1;11;5;Plata
DAM_002;Damon Albarn & Einar Örn Benediktsson;Soundtrack album;101 Reykjavík;2001;-;-;-;-;N/A
OAS_012;Oasis;Album;Heathen Chemistry;2002;1;50;23;5;4xPlatino
DAM_003;Afel Bocoum, Damon Albarn, Toumani Diabaté, Ko Kan Ko Sata;Album;Mali Music;2002;81;1;-;-;N/A
GOR_004;Spacemonkeyz vs. Gorillaz;Remix album;Laika Come Home;2002;-;-;156;1;N/A
BLU_015;Blur;Album;Think Tank;2003;1;14;56;3;Oro
DAM_004;Damon Albarn;Album;Democrazy;2003;-;-;-;-;N/A
BLU_016;Blur;Documentary compilation;Starshaped;2004;-;-;-;-;N/A
OAS_013;Oasis;Album;Don't Believe the Truth;2005;1;41;12;7;3xPlatino
OAS_014;Oasis;Live album;2005-06-20: UIC Pavilion, Chicago, IL, USA;2005;-;-;-;-;N/A
GOR_005;Gorillaz;Album;Demon Days;2005;1;79;6;88;6xPlatino
OAS_015;Oasis;Compilation;Stop the Clocks;2006;2;74;89;2;5xPlatino
OAS_016;Oasis;EP;Stop the Clocks EP;2006;-;-;-;-;N/A
NOE_001;Noel Gallagher;EP;Rhapsody Originals;2006;-;-;-;-;N/A
GOR_006;Gorillaz;EP;(Dare) (EP Series);2006;-;-;-;-;N/A
GOR_007;Gorillaz;Live album;Demon Days: Live at the Manchester Opera House;2006;-;-;-;-;N/A
OAS_017;Oasis;Live album;Lord Don't Slow Me Down;2007;-;-;-;-;N/A
GOR_008;Gorillaz;EP;Feel Good Inc. (EP Series);2007;-;-;-;-;N/A
GOR_009;Gorillaz;Compilation;D-Sides;2007;63;1;10;2;N/A
OAS_018;Oasis;Album;Dig Out Your Soul;2008;1;33;5;5;2xPlatino
OAS_019;Oasis;Compilation;Greatest Hits;2008;-;-;-;-;N/A
OAS_020;Cookin' Soul, Jay-Z, Oasis;Remix mixtape album;OJAYZIS;2008;-;-;-;-;N/A
OAS_021;Oasis;EP;Boy With The Blues;2009;-;-;-;-;N/A
OAS_022;Oasis;Live EP;iTunes Festival: London 2009;2009;-;-;-;-;N/A
OAS_023;Oasis;Remix EP;Falling Down (A Monstrous Psychedelic Bubble Exploding in Your Mind);2009;-;-;-;-;N/A
NOE_002;Noel Gallagher;Live album;The Dreams We Have as Children;2009;1;3;-;-;N/A
BLU_017;Blur;Compilation;Midlife: A Begginers' Guide to Blur;2009;20;6;-;-;N/A
BLU_018;Blur;Live album;All the People: Blur Live at Hyde Park 02 July 2009;2009;70;1;-;-;N/A
BLU_019;Blur;Live album;All the People: Blur Live at Hyde Park 03 July 2009;2009;44;1;-;-;N/A
BLU_020;Blur;Live broadcast;2009-06-28: Glastonbury Festival of Contemporary Performing Arts, UK;2009;-;-;-;-;N/A
OAS_024;Oasis;Compilation;Time Flies… 1994-2009;2010;1;680;131;1;8xPlatino
GOR_010;Gorillaz;Album;Plastic Beach;2010;2;31;2;35;Platino
GOR_011;Gorillaz;Album;The Fall;2010;12;3;24;4;N/A
GOR_012;Gorillaz;Live EP;iTunes Session;2010;-;-;154;1;N/A
BEA_001;Beady Eye;Live EP;iTunes Festival: London 2011;2011;-;-;-;-;N/A
BEA_002;Beady Eye;Album;Different Gear, Still Speeding;2011;3;19;31;2;Oro
HFB_001;Noel Gallagher's High Flying Birds;Album;Noel Gallagher's High Flying Birds;2011;1;60;28;2;3xPlatino
GOR_013;Gorillaz;Compilation;The Singles Collection 2001-2011;2011;42;26;-;-;Platino
HFB_002;Noel Gallagher's High Flying Birds;Live album;International Magic Live at the O2;2012;-;-;-;-;N/A
HFB_003;Noel Gallagher's High Flying Birds;Compilation EP;Songs From the Great White North…;2012;-;-;-;-;N/A
BLU_021;Blur;Compilation;Blur 21: The Box;2012;71;1;-;-;N/A
BLU_022;Blur;Live album;Parklive;2012;91;1;-;-;N/A
BLU_023;Blur;Live EP;Live From the Brits;2012;-;-;-;-;N/A
GBQ_001;The Good, the Bad & the Queen;Album;The Good, the Bad & the Queen;2007;-;-;-;-;Oro
DAM_005;Damon Albarn;Album;Dr Dee;2012;42;1;-;-;N/A
BEA_003;Beady Eye;Album;BE;2013;2;8;-;-;Plata
BEA_004;Beady Eye;EP;42.42;2013;-;-;-;-;N/A
