album_id;artista_proyecto;tipo_discografia;nombre_album;año_lanzamiento;UK_peak;semanas_chart_UK;US_peak;semanas_chart_US;certificacion_BPI
DAM_001;Damon Albarn & Michael Nyman;Soundtrack album;Ravenous;1999;-;-;-;-;N/A
DAM_002;Damon Albarn & Einar Örn Benediktsson;Soundtrack album;101 Reykjavík;2001;-;-;-;-;N/A
DAM_003;Afel Bocoum, Damon Albarn, Toumani Diabaté, Ko Kan Ko Sata;Album;Mali Music;2002;81;1;-;-;N/A
DAM_004;Damon Albarn;Album;Democrazy;2003;-;-;-;-;N/A
GBQ_001;The Good, the Bad & the Queen;Album;The Good, the Bad & the Queen;2007;-;-;-;-;Oro
DAM_005;Damon Albarn;Album;Dr Dee;2012;42;1;-;-;N/A
DAM_006;Michael Horovitz, Damon Albarn, Graham Coxon, Paul Weller;Album;Bankbusted Nuclear Detergent Blues;2013;-;-;-;-;N/A
DAM_007;Damon Albarn;Album;Everyday Robots;2014;2;9;-;-;Plata
DAM_008;Damon Albarn & The Heavy Seas;Live album;Live at the de de de der… (15 November 2014);2014;-;-;-;-;N/A
DAM_009;Damon Albarn & The Heavy Seas;Live album;Live at the de de de der… (16 November 2014);2014;-;-;-;-;N/A
DAM_010;Damon Albarn;Album;The Nearer the Fountain, More Pure the Stream Flows;2021;7;2;-;-;N/A
DAM_011;Damon Albarn;Live EP;Live at The Photographers' Gallery (Amazon Music live);2022;-;-;-;-;N/A
DAM_012;Damon Albarn;EP;Pure Love;2024;-;-;-;-;N/A
