album_id;artista_proyecto;tipo_discografia;nombre_album;año_lanzamiento;UK_peak;semanas_chart_UK;US_peak;semanas_chart_US;certificacion_BPI
NOE_001;Noel Gallagher;EP;Rhapsody Originals;2006;-;-;-;-;N/A
NOE_002;Noel Gallagher;Live album;The Dreams We Have as Children;2009;1;3;-;-;N/A
HFB_001;Noel Gallagher's High Flying Birds;Album;Noel Gallagher's High Flying Birds;2011;1;60;28;2;3xPlatino
HFB_002;Noel Gallagher's High Flying Birds;Live album;International Magic Live at the O2;2012;-;-;-;-;N/A
HFB_003;Noel Gallagher's High Flying Birds;Compilation EP;Songs From the Great White North…;2012;-;-;-;-;N/A
HFB_004;Noel Gallagher's High Flying Birds;Album;Chasing Yesterday;2014;1;44;24;2;Platino
HFB_005;Noel Gallagher's High Flying Birds;Remix album;Where the City Meets the Sky - Chasing Yerterday: The Remixes;2015;35;1;-;-;N/A
HFB_006;Noel Gallagher's High Flying Birds;Album;Who Built the Moon?;2017;1;34;19;1;Platino
HFB_007;Noel Gallagher's High Flying Birds;Remix EP;It´s a Beautiful World (Remixes);2018;-;-;-;-;N/A
HFB_008;Noel Gallagher's High Flying Birds;Remix EP;Wait and Return;2019;-;-;-;-;N/A
HFB_009;Noel Gallagher's High Flying Birds;EP;Black Star Dancing;2019;-;-;-;-;N/A
HFB_010;Noel Gallagher's High Flying Birds;EP;This Is the Place;2019;-;-;-;-;N/A
HFB_011;Noel Gallagher's High Flying Birds;EP;Blue Moon Rising;2020;-;-;-;-;N/A
HFB_012;Noel Gallagher's High Flying Birds;Compilation;Back the Way We Came: Vol. 1 (2011-2021);2021;1;11;-;-;Oro
HFB_013;Noel Gallagher's High Flying Birds;Album;Council Skies;2023;2;8;20;1;Oro
