album_id;artista_proyecto;tipo_discografia;nombre_album;año_lanzamiento;UK_peak;semanas_chart_UK;US_peak;semanas_chart_US;certificacion_BPI
OAS_001;Oasis;Album;Definitely Maybe;1994;1;663;13;22;10xPlatino
OAS_002;Oasis;Live album;1994-04-24: Glastonbury Festival of Contemporary Performing Arts, UK;1994;-;-;-;-;N/A
OAS_003;Oasis;Live broadcast;Oasis - Evening Session 1993;1994;-;-;-;-;N/A
OAS_004;Oasis;Album;(What's the Story) Morning Glory?;1995;1;767;4;81;19xPlatino
OAS_005;Oasis;Live album;Live by the Sea;1995;-;-;-;-;3xPlatino
OAS_006;Oasis;Live album;… There and Then;1996;-;-;-;-;8xPlatino
OAS_007;Oasis;Album;Be Here Now;1997;1;51;2;26;7xPlatino
OAS_008;Oasis;Spokenword album;Brothers: From childhood to Oasis Real Story;1997;-;-;-;-;N/A
OAS_009;Oasis;Compilation;The Masterplan;1998;2;45;51;2;3xPlatino
OAS_010;Oasis;Album;Standing on the Shoulder of Giants;2000;1;36;24;8;2xPlatino
OAS_011;Oasis;Live album;Familiar to Millions;2000;5;13;182;1;Platino
OAS_012;Oasis;Album;Heathen Chemistry;2002;1;50;23;5;4xPlatino
OAS_013;Oasis;Album;Don't Believe the Truth;2005;1;41;12;7;3xPlatino
OAS_014;Oasis;Live album;2005-06-20: UIC Pavilion, Chicago, IL, USA;2005;-;-;-;-;N/A
OAS_015;Oasis;Compilation;Stop the Clocks;2006;2;74;89;2;5xPlatino
OAS_016;Oasis;EP;Stop the Clocks EP;2006;-;-;-;-;N/A
OAS_017;Oasis;Live album;Lord Don't Slow Me Down;2007;-;-;-;-;N/A
OAS_018;Oasis;Album;Dig Out Your Soul;2008;1;33;5;5;2xPlatino
OAS_019;Oasis;Compilation;Greatest Hits;2008;-;-;-;-;N/A
OAS_021;Oasis;EP;Boy With The Blues;2009;-;-;-;-;N/A
OAS_022;Oasis;Live EP;iTunes Festival: London 2009;2009;-;-;-;-;N/A
OAS_023;Oasis;Remix EP;Falling Down (A Monstrous Psychedelic Bubble Exploding in Your Mind);2009;-;-;-;-;N/A
OAS_024;Oasis;Compilation;Time Flies… 1994-2009;2010;1;680;131;1;8xPlatino
OAS_025;Oasis;Demo album;Original 1993 Demos;2014;-;-;-;-;N/A
OAS_026;Oasis;Live album;Knebworth 1996;2021;4;8;-;-;Oro
OAS_027;Oasis;Live album;Live at BBC Radio 1997;2023;-;-;-;-;N/A
OAS_0028;Oasis;Compilation;Complete Studio Album Collection;2025;-;-;-;-;N/A
